,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
purchases_installments_frequency,0.3644373415642452,0.7026806144578298,0.07348627515192442,0.43382579482439876,0.72792981291611,0.04558469800292252,0.6835744647377927,0.07022617794676811,0.04618529999999999,0.7302576159830252,0.2265257337942956,0.6752756185827897,0.006467046388725777,0.0027152090530077433,0.6453317739905602,0.1830786212560387,0.7213943921725227,0.017200039906103283,0.6587958179169698,0.12868693027698191,0.6466222835332593,0.769437878406709,0.6793825564278703,0.01556601567209162,0.6455688643939396,0.002375225219573401,0.014845153605015668,0.6840200397614312,0.14539798946259222,0.09353151381780976,0.0034372794117647053,0.7508984387427824,0.7801052500000003,0.6439272101390031,0.6811886617210682,0.6575628144144147,0.750762192040428,0.0031882739726027394,0.09653248981779221,0.02025485942492012,0.14468869690011482,0.11272964878048786,0.7785941974248929
cash_advance_frequency,0.12763742659218116,0.08284970843373488,0.29797369209993524,0.02824084473197778,0.08433740612516633,0.0579826522162688,0.03050310198915014,0.3088595901140709,0.06198939005235598,0.0635798062234795,0.4131496387208278,0.028321313087491005,0.22178655490311192,0.2207575938058366,0.007498304667016253,0.43221984347825904,0.06174995527156557,0.06257187265258217,0.09185924836125269,0.4302010296084032,0.0069788816793893114,0.18542277777777771,0.026610406280667315,0.06072372031344185,0.09492081439393939,0.21175434441656235,0.08689896551724138,0.02786547713717693,0.435893781875657,0.030146215967246648,0.231507689171123,0.009123715843489413,0.17678878879310336,0.09626638757154542,0.028592394658753705,0.09255219099099102,0.007993725837018316,0.21898353500761097,0.021597503751339734,0.08025995686900962,0.4332638415614228,0.32019012195121965,0.17388411802575102
cash_advance_trx,2.731731843575419,1.8367469879518072,6.537137069547603,0.4706561922365989,1.9047936085219708,0.9736970287384316,0.5533453887884268,6.866539923954373,1.1151832460732984,1.3521923620933523,10.162489196197061,0.5050614605929139,4.258367586611861,4.221560452650387,0.10959622443628736,10.757487922705314,1.3562300319488818,1.119131455399061,1.7574654042243263,10.636103151862464,0.1025081788440567,4.469601677148847,0.48773307163886165,1.080168776371308,1.8227272727272728,3.9510664993726476,1.5822884012539185,0.5089463220675944,10.870389884088514,0.5179119754350051,4.431818181818182,0.13277742142398974,4.2780172413793105,1.8593622240392478,0.5182987141444114,1.8396396396396397,0.12571067593177512,4.237442922374429,0.42336548767416937,1.4728434504792332,10.903559127439724,5.892682926829268,4.214592274678112
purchases_trx,12.684022346368716,37.952409638554215,2.535111411208643,9.93807763401109,39.44207723035952,6.2532878714076965,12.82640144665461,2.272623574144487,6.651832460732984,39.91230551626591,7.764909248055315,12.700650759219089,0.15678214914856137,0.07564026206075045,11.324069218668065,7.04927536231884,40.97683706070288,5.994131455399061,16.74217042971595,4.507163323782235,11.050163576881134,43.16771488469602,36.82924435721296,5.758890898131405,15.725757575757576,0.06587202007528231,7.049373040752351,36.885685884691846,4.952581664910432,3.04503582395087,0.10026737967914438,12.990378447722899,44.043103448275865,15.459525756336877,36.50741839762611,15.834234234234234,13.107391029690461,0.1004566210045662,3.257234726688103,7.2196485623003195,4.994259471871412,2.5585365853658537,44.3755364806867
credit_limit,4366.6530485320145,6741.314348302409,4535.850055763177,3340.058942007625,6897.724246459386,3805.6830292783884,3140.370522585533,4648.2780274228135,3874.152149769633,6792.172431528995,7171.611534533276,3116.3935267349957,3030.113517155333,3042.664276185546,3386.5204483214466,7381.695213,7043.39602091214,3951.749181960093,3148.324836125273,7031.0931666236875,3338.4648282164662,8788.469601677149,6140.021411366045,3909.5422580229047,2991.8939393939395,2956.859046245628,3674.6451980619117,6125.429242725646,7381.933135358272,4072.6919000834514,3000.81327985762,3180.291529794098,8778.23275862069,3046.3205233033523,6060.120492761622,3083.963963963964,3176.4842040107383,3063.0263825471843,4263.7763486956055,3671.0840836477632,7601.268134850747,2877.4796415817855,8806.008583690988
payments,1479.577413292575,3002.735496892838,1623.749136755674,796.7033227948724,3093.8818106189788,949.7373455649732,799.534583258212,1686.1914358422266,962.9545616566454,3045.6617747080663,2673.98608925147,786.7365715711696,1072.5153403038125,1068.205775424088,686.312520446721,2803.566078308553,3224.4309758397385,966.819958265401,1131.6552759320475,2630.074553139687,663.0893071853302,3815.9575120637364,2760.541939418692,952.6021432690143,1087.5432582827639,1018.3789060946328,950.4233076555242,2751.5088368985066,2761.223781424763,923.5574150358256,1027.5697823111614,682.4638100182467,3844.290197228237,1106.9392720754693,2715.226801759296,1155.19508545491,683.3066590810461,1078.4179039927317,957.399807304503,951.0655154580659,2898.8298206228465,747.9804250493917,3863.9498857551544
minimum_payments,643.3875098209571,821.3634770737574,934.0531248063083,376.19904927885057,813.3354689952004,425.51716068963225,430.048107661939,940.6914790440007,452.3306420284293,744.9480947077726,1529.96001796145,409.17772845015264,551.4155860434372,553.3296834386726,190.7410818762065,1508.9683855091132,698.1362138763172,431.1415945008427,943.204905653025,1435.659132798063,191.86069442504117,1725.1173769971551,306.2611090244606,425.5440192919919,923.0285510437736,529.4694560700821,534.4763099912359,299.73129811821593,1486.379271292866,225.63060049102492,580.8009231867276,186.73897557433827,1691.6565744669028,980.2525230946693,294.9608347338529,1052.617668320845,186.5066997847217,612.2296837290542,222.55767671377737,544.2079307203012,1552.6136458028557,428.05613543318935,1663.4616830657574
prc_full_payment,0.1537146484916212,0.24658493795180728,0.030890138082376808,0.20215307717190467,0.25153048268974715,0.0969180389673649,0.2586963924050636,0.031817133079847945,0.08596836544502616,0.2693369681753891,0.025740999999999986,0.25976026536514857,0.04839977803875518,0.047946002382370505,0.3764570655479813,0.029564987439613513,0.29380550638977637,0.09115635269953047,0.017164210487982508,0.030024710601719184,0.3725083533260635,0.03474839622641507,0.39443972522080484,0.08668816877637124,0.01629116666666665,0.0484948776662485,0.06358441457680251,0.3927894642147118,0.03177296101159113,0.20155501842374624,0.028689905748663126,0.3817282508017963,0.03735465732758618,0.013922644317252644,0.388982544015826,0.01283989999999999,0.3757034643082756,0.027533054033485535,0.20337302357985,0.061205865814696496,0.03104687256027553,0.05747386341463413,0.04363210515021458
tenure,11.58413407821229,11.867469879518072,11.443281566509116,11.571857670979668,11.882822902796272,11.548952752070141,11.57106690777577,11.454752851711026,11.589005235602095,11.898161244695897,11.530682800345721,11.567968185104844,11.380504991192014,11.378796902918404,11.51232302045097,11.499516908212561,11.893769968051119,11.559272300469484,11.747268754552076,11.494746895893028,11.496728462377318,11.88679245283019,11.888125613346418,11.547920433996383,11.738636363636363,11.368255959849435,11.627742946708464,11.886679920477137,11.466807165437302,11.354145342886387,11.453208556149733,11.494547787042976,11.894396551724139,11.721177432542927,11.882294757665678,11.863063063063063,11.493367024636767,11.885844748858448,11.57449088960343,11.730830670926517,11.753157290470723,8.341463414634147,11.892703862660944
monthly_avg_purchase,71.03092942763638,230.99277117430776,15.416741221051057,47.73900894899285,237.87465639344794,50.521135644947144,50.64104751780269,13.192660307447088,53.657067307895666,241.6379196492356,44.469783294888636,50.20598694060221,0.7307705727266799,0.5858112768543086,46.20189968226732,42.26239545506825,254.3982810514725,52.99097675997054,68.529764732698,27.858657240297642,44.13125361694536,264.1735428789978,226.07330769810855,51.56114690987631,62.81843651340245,0.4907940366652725,57.5175124781174,225.8167623038825,30.198554074350312,26.837112590852257,0.5786600716388484,50.881188091859784,269.56147238004866,61.33978076289122,223.2984389957226,60.31658798278806,51.468360782949176,0.5678080462155806,28.459024385061806,57.31123177317441,29.24548181648369,22.89829586632878,273.89081781332436
